h3_cell,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
595032912445833215,Paris,Paris,48.8567,2.3522,France,FR,FRA,Île-de-France,primary,11060000,1250015082
594904750621720575,Bordeaux,Bordeaux,44.84,-0.58,France,FR,FRA,Nouvelle-Aquitaine,admin,994920,1250449238
595485060832952319,Marseille,Marseille,43.2964,5.37,France,FR,FRA,Provence-Alpes-Côte d’Azur,admin,873076,1250774071
595030421364801535,Lyon,Lyon,45.76,4.84,France,FR,FRA,Auvergne-Rhône-Alpes,admin,522250,1250196189
595484511077138431,Toulouse,Toulouse,43.6045,1.444,France,FR,FRA,Occitanie,admin,504078,1250258110
595485172502102015,Nice,Nice,43.7034,7.2663,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,348085,1250774553
594902147871539199,Nantes,Nantes,47.2181,-1.5528,France,FR,FRA,Pays de la Loire,admin,323204,1250091495
595485352890728447,Montpellier,Montpellier,43.6119,3.8772,France,FR,FRA,Occitanie,minor,302454,1250819356
595029682630426623,Strasbourg,Strasbourg,48.5833,7.7458,France,FR,FRA,Grand Est,admin,291313,1250789140
596133643844321279,Fort-de-France,Fort-de-France,14.6,-61.0667,Martinique,MQ,MTQ,,primary,253995,1474969110
594920264043593727,Lille,Lille,50.6278,3.0583,France,FR,FRA,Hauts-de-France,admin,236710,1250071961
594904175096102911,Rennes,Rennes,48.1147,-1.6794,France,FR,FRA,Bretagne,admin,225081,1250363682
595485069422886911,Toulon,Toulon,43.1258,5.9306,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,180452,1250541629
595032963985440767,Reims,Reims,49.2628,4.0347,France,FR,FRA,Grand Est,minor,179380,1250608730
595030438544670719,Saint-Étienne,Saint-Etienne,45.4347,4.3903,France,FR,FRA,Auvergne-Rhône-Alpes,minor,172718,1250000540
594904364074663935,Le Havre,Le Havre,49.49,0.1,France,FR,FRA,Normandie,minor,166058,1250775297
595029742759968767,Dijon,Dijon,47.3167,5.0167,France,FR,FRA,Bourgogne-Franche-Comté,admin,159346,1250505606
595030627523231743,Grenoble,Grenoble,45.1715,5.7224,France,FR,FRA,Auvergne-Rhône-Alpes,minor,157477,1250071647
594904982549954559,Angers,Angers,47.4736,-0.5542,France,FR,FRA,Pays de la Loire,minor,157175,1250962174
595030421364801535,Villeurbanne,Villeurbanne,45.7667,4.8803,France,FR,FRA,Auvergne-Rhône-Alpes,,156928,1250002615
595485335710859263,Nîmes,Nimes,43.8383,4.3597,France,FR,FRA,Occitanie,minor,148104,1250417467
595485103782625279,Aix-en-Provence,Aix-en-Provence,43.5263,5.4454,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,147478,1250001687
595030868041400319,Clermont-Ferrand,Clermont-Ferrand,45.7831,3.0824,France,FR,FRA,Auvergne-Rhône-Alpes,minor,147327,1250135509
594904037657149439,Le Mans,Le Mans,48.0077,0.1984,France,FR,FRA,Pays de la Loire,minor,145004,1250829671
594905162938580991,Brest,Brest,48.39,-4.49,France,FR,FRA,Bretagne,minor,139619,1250882453
594904793571393535,Tours,Tours,47.3936,0.6892,France,FR,FRA,Centre-Val de Loire,minor,137658,1250635972
594920006345555967,Amiens,Amiens,49.892,2.299,France,FR,FRA,Hauts-de-France,minor,133625,1250794759
595030490084278271,Annecy,Annecy,45.916,6.133,France,FR,FRA,Auvergne-Rhône-Alpes,minor,131715,1250551848
594904638952570879,Limoges,Limoges,45.8353,1.2625,France,FR,FRA,Nouvelle-Aquitaine,minor,129760,1250736774
595029631090819071,Metz,Metz,49.1203,6.1778,France,FR,FRA,Grand Est,minor,120874,1250778717
595032912445833215,Boulogne-Billancourt,Boulogne-Billancourt,48.8352,2.2409,France,FR,FRA,Île-de-France,minor,119808,1250978859
595484725825503231,Perpignan,Perpignan,42.6986,2.8956,France,FR,FRA,Occitanie,minor,119656,1250102680
595029485061931007,Besançon,Besancon,47.24,6.02,France,FR,FRA,Bourgogne-Franche-Comté,minor,119198,1250182013
595033049884786687,Orléans,Orleans,47.9025,1.909,France,FR,FRA,Centre-Val de Loire,admin,116617,1250441405
594904346894794751,Rouen,Rouen,49.4428,1.0886,France,FR,FRA,Normandie,admin,114083,1250372069
595032912445833215,Saint-Denis,Saint-Denis,48.9356,2.3539,France,FR,FRA,Île-de-France,minor,113942,1250935115
595032912445833215,Montreuil,Montreuil,48.8611,2.4436,France,FR,FRA,Île-de-France,,111455,1250689747
596773508072079359,Franceville,Franceville,-1.6333,13.5833,Gabon,GA,GAB,Haut-Ogooué,admin,110568,1266537692
594904329714925567,Caen,Caen,49.1814,-0.3636,France,FR,FRA,Normandie,minor,108200,1250001272
595032912445833215,Argenteuil,Argenteuil,48.95,2.25,France,FR,FRA,Île-de-France,minor,107221,1250226887
595029321853173759,Mulhouse,Mulhouse,47.75,7.34,France,FR,FRA,Grand Est,minor,106341,1250218452
595029588141146111,Nancy,Nancy,48.6936,6.1846,France,FR,FRA,Grand Est,minor,104260,1250925250
594920264043593727,Tourcoing,Tourcoing,50.7239,3.1612,France,FR,FRA,Hauts-de-France,,99011,1250711716
594920264043593727,Roubaix,Roubaix,50.6901,3.1817,France,FR,FRA,Hauts-de-France,,98892,1250000779
595032912445833215,Nanterre,Nanterre,48.8988,2.1969,France,FR,FRA,Île-de-France,minor,97351,1250886409
595032912445833215,Vitry-sur-Seine,Vitry-sur-Seine,48.7875,2.3928,France,FR,FRA,Île-de-France,,96205,1250115605
595032912445833215,Créteil,Creteil,48.7911,2.4628,France,FR,FRA,Île-de-France,minor,92989,1250710438
595485344300793855,Avignon,Avignon,43.95,4.8075,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,90330,1250645342
594904570233094143,Poitiers,Poitiers,46.58,0.34,France,FR,FRA,Nouvelle-Aquitaine,minor,90240,1250812174
595032912445833215,Aubervilliers,Aubervilliers,48.9131,2.3831,France,FR,FRA,Île-de-France,,90071,1250470371
595032912445833215,Colombes,Colombes,48.9236,2.2522,France,FR,FRA,Île-de-France,,88870,1250390247
594919954805948415,Dunkerque,Dunkerque,51.0383,2.3775,France,FR,FRA,Hauts-de-France,minor,86788,1250542305
595032895265964031,Aulnay-sous-Bois,Aulnay-sous-Bois,48.9386,2.4906,France,FR,FRA,Île-de-France,,86135,1250420439
595032912445833215,Versailles,Versailles,48.8053,2.135,France,FR,FRA,Île-de-France,minor,83587,1250143827
595032912445833215,Courbevoic,Courbevoic,48.8978,2.2531,France,FR,FRA,Île-de-France,,81516,1250060303
595484605566418943,Béziers,Beziers,43.3476,3.219,France,FR,FRA,Occitanie,minor,80341,1250666824
594904656132440063,La Rochelle,La Rochelle,46.16,-1.15,France,FR,FRA,Nouvelle-Aquitaine,minor,78535,1250623782
595032912445833215,Rueil-Malmaison,Rueil-Malmaison,48.876,2.181,France,FR,FRA,Île-de-France,,78186,1250924511
595032646157860863,Champigny-sur-Marne,Champigny-sur-Marne,48.8172,2.5156,France,FR,FRA,Île-de-France,,77724,1250631569
594902431339380735,Pau,Pau,43.3,-0.37,France,FR,FRA,Nouvelle-Aquitaine,minor,77066,1250041150
594902714807222271,Mérignac,Merignac,44.8386,-0.6436,France,FR,FRA,Nouvelle-Aquitaine,,75729,1250010536
595032646157860863,Saint-Maur-des-Fossés,Saint-Maur-des-Fosses,48.7994,2.4997,France,FR,FRA,Île-de-France,,75441,1250687119
595485172502102015,Antibes,Antibes,43.5808,7.1239,France,FR,FRA,Provence-Alpes-Côte d’Azur,,75130,1250213494
595015200000704511,Ajaccio,Ajaccio,41.9267,8.7369,France,FR,FRA,Corsica,admin,73822,1250622666
595485172502102015,Cannes,Cannes,43.5513,7.0128,France,FR,FRA,Provence-Alpes-Côte d’Azur,,73255,1250487828
594902165051408383,Saint-Nazaire,Saint-Nazaire,47.2736,-2.2139,France,FR,FRA,Pays de la Loire,minor,72057,1250133864
595032895265964031,Drancy,Drancy,48.93,2.45,France,FR,FRA,Île-de-France,,71363,1250144343
