h3_polygon,route_id,route_long_name,trip_id,company,transport_mode,stop_sequence,arrival_time,departure_time,stop_name,stop_lon,stop_lat,arrival_date,departure_date,h3_cell
"POLYGON ((4.475088 45.905902, 4.405929 45.679169, 4.647465 45.539269, 4.959125 45.625827, 5.030131 45.852791, 4.787632 45.992967, 4.475088 45.905902))",6647, Paris-Gare-de-Lyon/Lyon-Perrache-Voyageurs,36581,tren_italia,TRAIN,48,10:26:00,10:40:00,Lyon-Part-Dieu,4.85972222,45.76,2024-11-03 10:26:00,2024-11-03 10:26:00,595030421364801535
"POLYGON ((4.475088 45.905902, 4.405929 45.679169, 4.647465 45.539269, 4.959125 45.625827, 5.030131 45.852791, 4.787632 45.992967, 4.475088 45.905902))",6654, Lyon-Perrache-Voyageurs/Paris-Gare-de-Lyon,36612,tren_italia,TRAIN,0,12:11:00,12:11:00,Lyon-Perrache-Voyageurs,4.82555556,45.74833333,2024-11-03 12:11:00,2024-11-03 12:11:00,595030421364801535
"POLYGON ((2.249146 49.036218, 1.9384 48.979596, 1.874725 48.758141, 2.120222 48.594025, 2.428614 48.650849, 2.493851 48.871587, 2.249146 49.036218))",6654, Lyon-Perrache-Voyageurs/Paris-Gare-de-Lyon,36612,tren_italia,TRAIN,59,14:30:00,14:30:00,Paris-Gare-de-Lyon,2.37361111,48.84472222,2024-11-03 14:30:00,2024-11-03 14:30:00,595032912445833215
"POLYGON ((4.475088 45.905902, 4.405929 45.679169, 4.647465 45.539269, 4.959125 45.625827, 5.030131 45.852791, 4.787632 45.992967, 4.475088 45.905902))",6656, Lyon-Perrache-Voyageurs/Paris-Gare-de-Lyon,36552,tren_italia,TRAIN,8,16:16:00,16:22:00,Lyon-Part-Dieu,4.85972222,45.76,2024-11-03 16:16:00,2024-11-03 16:16:00,595030421364801535
"POLYGON ((6.151662 49.198567, 6.073447 48.979156, 6.325574 48.842831, 6.656859 48.925608, 6.737081 49.14516, 6.484015 49.281797, 6.151662 49.198567))",N839,Brussels - Luxembourg - Geneva - Grenoble,N839-2-2050112024-GBL#BNO-00,flixbus,BUS,8,31:05:00,31:10:00,Metz (central bus station),6.183766,49.110164,2024-11-03 07:05:00,2024-11-03 07:05:00,595029631090819071
"POLYGON ((2.819569 46.047822, 2.755963 45.821876, 2.997774 45.686669, 3.304253 45.777168, 3.369712 46.003392, 3.126839 46.138841, 2.819569 46.047822))",1627,Clermont-Ferrand - Paris - Troyes,1627-1-0830112024-CLF#TOY-00,flixbus,BUS,2,08:45:00,08:50:00,Clermont-Ferrand (Campus des Cézeaux),3.112603,45.764163,2024-11-03 08:45:00,2024-11-03 08:45:00,595030868041400319
"POLYGON ((7.492872 48.729225, 7.410463 48.508655, 7.660516 48.367674, 7.993815 48.446934, 8.078191 48.667614, 7.827305 48.808926, 7.492872 48.729225))",299,Antwerp - Freiburg/Zurich,299-2-0810112024-BNO#ZH-00,flixbus,BUS,4,14:45:00,14:55:00,Strasbourg,7.754266,48.574179,2024-11-03 14:45:00,2024-11-03 14:45:00,595029682630426623
"POLYGON ((1.142642 46.06284, 0.844215 45.997428, 0.786697 45.769273, 1.026108 45.607265, 1.322397 45.672854, 1.381402 45.900273, 1.142642 46.06284))",FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,Paris - Toulouse,OCESN3619F3211444:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,6,11:54:00,11:57:00,Limoges Bénédictins,1.268513,45.835871,2024-11-03 11:54:00,2024-11-03 11:54:00,594904638952570879
"POLYGON ((1.49969 45.282529, 1.205514 45.216757, 1.147629 44.988093, 1.382481 44.825952, 1.674569 44.891915, 1.733884 45.119827, 1.49969 45.282529))",FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,Paris - Toulouse,OCESN3619F3211444:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,7,12:58:00,13:01:00,Brive-la-Gaillarde,1.528634,45.152601,2024-11-03 12:58:00,2024-11-03 12:58:00,594904596002897919
"POLYGON ((1.49969 45.282529, 1.205514 45.216757, 1.147629 44.988093, 1.382481 44.825952, 1.674569 44.891915, 1.733884 45.119827, 1.49969 45.282529))",FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,Paris - Toulouse,OCESN3619F3211444:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,8,13:25:00,13:27:00,Souillac,1.466605,44.902127,2024-11-03 13:25:00,2024-11-03 13:25:00,594904596002897919
"POLYGON ((1.49969 45.282529, 1.205514 45.216757, 1.147629 44.988093, 1.382481 44.825952, 1.674569 44.891915, 1.733884 45.119827, 1.49969 45.282529))",FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,Paris - Brive,OCESN3628F3135376:2024-10-01T00:19:58Z,sncf_intercites,TRAIN,0,06:58:00,06:58:00,Brive-la-Gaillarde,1.528634,45.152601,2024-11-03 06:58:00,2024-11-03 06:58:00,594904596002897919
"POLYGON ((1.32443 44.597064, 1.032958 44.529567, 0.976164 44.29972, 1.209422 44.138125, 1.498849 44.205806, 1.557055 44.434897, 1.32443 44.597064))",FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,Paris - Toulouse,OCESN3650F3153653:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,3,11:43:00,11:45:00,Cahors,1.433325,44.449275,2024-11-03 11:43:00,2024-11-03 11:43:00,595484794544979967
"POLYGON ((1.50056 46.353818, 1.201475 46.289982, 1.142642 46.06284, 1.381402 45.900273, 1.678328 45.964297, 1.738641 46.1907, 1.50056 46.353818))",FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,Paris - Toulouse,OCESN3650F3153653:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,8,14:33:00,14:35:00,La Souterraine,1.492207,46.239782,2024-11-03 14:33:00,2024-11-03 14:33:00,594904888060674047
"POLYGON ((2.620228 44.319985, 2.558673 44.090794, 2.795192 43.952172, 3.094294 44.042499, 3.157621 44.271993, 2.920074 44.410858, 2.620228 44.319985))",FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,Clermont - Béziers,OCESN15940F3428192:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,5,11:13:00,11:14:00,Saint-Georges-de-Luzençon,2.983784,44.066553,2024-11-03 11:13:00,2024-11-03 11:13:00,595484614156353535
"POLYGON ((2.983102 44.639609, 2.920074 44.410858, 3.157621 44.271993, 3.459212 44.361632, 3.524027 44.590672, 3.285465 44.729786, 2.983102 44.639609))",FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,Clermont - Béziers,OCESN15940F3428192:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,12,13:14:00,13:15:00,Aumont-Aubrac,3.283582,44.718235,2024-11-03 13:14:00,2024-11-03 13:14:00,595030567393689599
"POLYGON ((-1.648835 43.643735, -1.941313 43.565989, -1.988658 43.330314, -1.745068 43.173091, -1.454551 43.250917, -1.405671 43.485885, -1.648835 43.643735))",FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,Toulouse - Hendaye,OCESN14157F2916863:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,6,21:34:00,21:50:00,Bayonne,-1.470057,43.496635,2024-11-03 21:34:00,2024-11-03 21:34:00,594902405569576959
"POLYGON ((1.674569 44.891915, 1.382481 44.825952, 1.32443 44.597064, 1.557055 44.434897, 1.847079 44.501056, 1.906533 44.729185, 1.674569 44.891915))",FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,Paris - Cahors,OCESN3638F3066130:2024-10-01T00:19:58Z,sncf_intercites,TRAIN,1,08:14:00,08:16:00,Gourdon,1.389264,44.741932,2024-11-03 08:14:00,2024-11-03 08:14:00,595484906214129663
